run_set,traj_ver,,run_idx,gpu,wallclock_s,,,,
diep-0-strcs-0,trajectories_ver1,Tl2SeO4,0,V100L,3647.83194,
diep-0-strcs-0,trajectories_ver1,K3NbO8,2,V100,4088.637187,
diep-0-strcs-0,trajectories_ver1,Nb3RhSe6,3,V100,4737.851969,
diep-0-strcs-0,trajectories_ver1,Sc2Te3,4,V100L,3699.085697,
diep-0-strcs-0,trajectories_ver1,UF5,5,L40S,2185.114402,
diep-0-strcs-0,trajectories_ver1,Cs2Sb,6,V100L,3381.725828,
diep-0-strcs-0,trajectories_ver1,Ho2TeO13,7,V100,,
diep-0-strcs-0,trajectories_ver1,ScMnGe2,8,L40S,8280.8796,
diep-0-strcs-0,trajectories_ver1,EuIn4,9,V100,2420.304962,
diep-0-strcs-0,trajectories_ver2,Tl2SeO4,0,V100L,3711.585639,,,,
diep-0-strcs-0,trajectories_ver2,K3NbO8,2,V100,3984.978936,,,,
diep-0-strcs-0,trajectories_ver2,Nb3RhSe6,3,V100,4371.125904,,,,
diep-0-strcs-0,trajectories_ver2,Sc2Te3,4,V100,3015.075723,,,,
diep-0-strcs-0,trajectories_ver2,UF5,5,V100,2367.247806,,,,
diep-0-strcs-0,trajectories_ver2,Cs2Sb,6,V100,3054.194685,,,,
diep-0-strcs-0,trajectories_ver2,Ho2TeO13,7,V100,,,,,
diep-0-strcs-0,trajectories_ver2,ScMnGe2,8,V100,,,,,
diep-0-strcs-0,trajectories_ver2,EuIn4,9,V100,3848.595604,,,,
diep-0-strcs-100,trajectories_ver1,Tl2SeO4,0,V100,1872.913034,,,,
diep-0-strcs-100,trajectories_ver1,K3NbO8,2,V100L,2035.697861,,,,
diep-0-strcs-100,trajectories_ver1,Nb3RhSe6,3,L40S,1760.86106,,,,
diep-0-strcs-100,trajectories_ver1,Sc2Te3,4,V100,1820.75595,,,,
diep-0-strcs-100,trajectories_ver1,UF5,5,L40S,1330.451546,,,,
diep-0-strcs-100,trajectories_ver1,Cs2Sb,6,V100,1784.617613,,,,
diep-0-strcs-100,trajectories_ver1,Ho2TeO13,7,V100,3063.678129,,,,
diep-0-strcs-100,trajectories_ver1,ScMnGe2,8,V100,3259.075283,,,,
diep-0-strcs-100,trajectories_ver1,EuIn4,9,V100,1308.604362,,,,
diep-0-strcs-100,trajectories_ver2,Tl2SeO4,0,V100L,1810.46263,,,,
diep-0-strcs-100,trajectories_ver2,K3NbO8,2,V100,1766.960076,,,,
diep-0-strcs-100,trajectories_ver2,Nb3RhSe6,3,V100,2706.113989,,,,
diep-0-strcs-100,trajectories_ver2,Sc2Te3,4,V100,1614.151952,,,,
diep-0-strcs-100,trajectories_ver2,UF5,5,V100,1204.564632,,,,
diep-0-strcs-100,trajectories_ver2,Cs2Sb,6,V100,1651.764484,,,,
diep-0-strcs-100,trajectories_ver2,Ho2TeO13,7,V100,2775.187386,,,,
diep-0-strcs-100,trajectories_ver2,ScMnGe2,8,V100,2790.11016,,,,
diep-0-strcs-100,trajectories_ver2,EuIn4,9,V100,1249.045095,,,,
m3gnet-0-strcs-0,trajectories_ver1,Tl2SeO4,0,L40S,1813.046268,,,,
m3gnet-0-strcs-0,trajectories_ver1,K3NbO8,2,L40S,1907.79558,,,,
m3gnet-0-strcs-0,trajectories_ver1,Nb3RhSe6,3,L40S,2033.294291,,,,
m3gnet-0-strcs-0,trajectories_ver1,Sc2Te3,4,L40S,1788.480846,,,,
m3gnet-0-strcs-0,trajectories_ver1,UF5,5,L40S,1480.487544,,,,
m3gnet-0-strcs-0,trajectories_ver1,Cs2Sb,6,L40S,1764.323974,,,,
m3gnet-0-strcs-0,trajectories_ver1,Ho2TeO13,7,L40S,3393.40443,,,,
m3gnet-0-strcs-0,trajectories_ver1,ScMnGe2,8,L40S,3417.038476,,,,
m3gnet-0-strcs-0,trajectories_ver1,EuIn4,9,L40S,1522.740727,,,,
m3gnet-0-strcs-0,trajectories_ver2,Tl2SeO4,0,V100L,2751.561564,,,,
